11,-59,6
11,-60,5
11,-61,6
10,-61,6
3,-32,190
6,-32,191
5,-28,191
3,-28,191
7,-31,192
7,-27,192
7,-24,192
5,-24,191
2,-25,191
3,-44,154
6,-44,154
6,-45,158
3,-45,158
7,-45,154
7,-46,158
7,-46,162
6,-46,162
3,-45,162
-4,-20,157
-6,-24,155
-7,-25,159
-5,-21,161
-6,-30,154
-7,-31,157
-8,-32,161
-8,-26,162
-6,-21,163
-11,-32,167
-12,-32,170
-12,-29,169
-11,-28,167
-13,-33,173
-12,-29,172
-11,-25,173
-11,-25,170
-10,-25,168
10,-61,7
10,-60,6
10,-60,7
0,-16,188
-2,-17,188
-1,-21,190
1,-20,190
-3,-18,187
-3,-21,189
-3,-25,190
-1,-25,191
5,-48,171
1,-47,170
0,-45,167
4,-46,167
-1,-48,170
-3,-46,170
-7,-45,171
-5,-42,166
-4,-41,162
0,-44,162
3,-16,158
0,-17,158
-2,-18,161
1,-16,161
-3,-18,164
0,-16,163
-5,-75,185
-7,-74,185
-7,-74,184
-5,-75,184
-9,-73,185
-9,-73,184
-8,-73,182
-7,-74,182
-5,-74,182
-1,-14,168
-4,-17,168
-5,-16,171
-2,-14,172
-7,-19,168
-7,-18,171
-8,-18,173
-5,-16,174
-3,-14,174
3,-16,190
4,-13,189
1,-13,188
7,-16,191
7,-13,190
7,-11,189
5,-11,188
3,-12,187
1,-13,172
1,-12,169
0,-13,175
1,-11,175
2,-11,173
4,-10,170
0,-32,191
0,-37,189
3,-36,189
-4,-33,191
-4,-37,190
-3,-41,188
0,-40,188
3,-40,187
-10,-33,187
-11,-33,183
-11,-38,183
-9,-37,186
-12,-33,179
-11,-37,179
-10,-41,179
-10,-41,182
-9,-41,185
-9,-32,164
-8,-38,166
-10,-36,168
-7,-37,161
-9,-41,169
-10,-39,169
-7,-33,113
-5,-36,112
-5,-38,113
-7,-37,115
-2,-38,111
-2,-40,112
-2,-42,114
-5,-42,115
-7,-41,117
3,-39,112
6,-39,112
6,-40,113
3,-41,113
7,-38,111
7,-40,113
7,-42,116
6,-42,116
3,-42,115
-4,-50,171
-6,-49,172
-2,-50,170
-3,-53,171
-4,-53,171
-6,-53,172
6,-48,174
3,-50,174
2,-51,172
6,-48,177
4,-50,176
2,-53,176
2,-53,174
1,-53,172
4,-46,182
0,-47,183
0,-50,181
2,-50,180
-3,-48,184
-3,-51,182
-3,-54,181
-1,-53,180
1,-53,179
-7,-47,182
-8,-47,180
-8,-50,178
-7,-51,180
-9,-46,177
-8,-50,177
-7,-53,176
-7,-53,178
-6,-53,179
-4,-56,171
-6,-56,172
-3,-56,171
-3,-58,171
-5,-58,172
-6,-58,172
1,-56,174
0,-56,172
2,-56,176
2,-58,176
1,-58,174
0,-58,173
-1,-56,180
1,-56,179
-3,-56,180
-3,-58,181
-1,-58,181
1,-58,180
-7,-56,178
-6,-56,179
-7,-56,176
-7,-58,177
-7,-58,178
-6,-58,180
-6,-67,175
-5,-67,175
-5,-67,174
-6,-68,175
-3,-67,174
-3,-67,173
-3,-68,173
-4,-68,173
-5,-68,174
-6,-68,174
2,-66,177
2,-67,178
3,-69,178
2,-68,176
3,-67,180
3,-69,181
3,-71,182
3,-70,180
3,-71,179
3,-70,178
2,-70,177
2,-3169,175
0,-66,184
-1,-65,184
-2,-67,185
0,-67,185
-3,-65,184
-3,-67,185
-3,-68,187
-1,-68,187
0,-68,186
-8,-66,183
-9,-67,182
-9,-68,183
-9,-68,184
-9,-67,181
-9,-69,182
-10,-71,182
-9,-70,183
-9,-70,185
12,-30,192
10,-31,192
10,-35,191
12,-34,192
7,-35,191
7,-39,189
10,-39,189
12,-39,190
12,-3,187
12,0,185
10,0,185
10,-4,187
12,4,184
10,3,184
9,3,184
8,-1,185
8,-4,187
4,-5,186
6,-2,184
4,-2,182
3,-5,183
7,2,183
6,1,181
5,1,179
4,-2,179
3,-5,180
6,-4,173
6,-1,173
8,0,172
8,-3,172
6,2,173
8,3,172
12,3,172
12,1,172
12,-3,171
12,6,183
11,6,183
12,8,182
11,8,182
9,8,182
9,5,183
7,4,182
6,4,180
7,6,181
7,6,179
6,6,177
6,4,178
7,4,172
9,5,171
7,6,171
9,7,171
12,8,170
12,5,171
12,16,180
12,18,179
11,18,179
11,15,180
12,20,179
11,20,179
10,20,179
10,18,179
10,15,180
7,14,179
7,17,178
7,17,176
7,14,177
7,20,178
7,20,176
6,20,173
6,17,174
6,13,175
7,13,169
7,17,168
9,18,167
9,14,168
7,20,167
9,21,166
12,22,166
12,18,167
12,15,168
12,22,179
12,23,179
11,23,179
11,22,179
10,23,179
10,22,179
7,22,178
8,23,178
7,24,176
7,23,176
8,23,179
7,25,177
6,27,175
6,25,174
5,24,173
7,27,168
7,29,169
10,30,168
9,28,167
7,31,170
10,32,169
12,33,169
12,31,167
12,29,166
9,23,179
8,24,179
10,23,180
9,23,180
10,34,171
12,34,171
8,33,172
8,34,174
10,35,173
12,35,173
7,30,171
7,32,173
6,29,172
6,30,174
6,31,175
7,33,174
8,24,180
10,22,181
9,23,181
8,23,181
12,36,179
10,36,179
10,35,183
12,36,183
8,35,179
8,34,183
7,33,187
10,34,187
12,34,187
7,34,179
7,33,183
7,32,179
7,32,182
6,30,185
7,32,186
9,22,182
8,22,183
10,22,182
10,21,183
9,21,184
8,21,184
9,32,189
12,33,189
7,32,189
7,30,191
9,31,190
12,32,191
7,30,188
6,29,187
6,27,189
6,28,189
6,28,190
6,29,190
9,20,184
8,20,185
10,20,184
10,18,185
9,19,185
8,19,186
12,32,193
10,32,194
11,31,194
12,31,194
9,32,195
9,31,195
9,30,195
11,30,195
12,30,194
5,27,190
6,28,191
5,25,189
5,24,190
5,26,191
6,27,191
8,15,190
9,15,190
9,13,191
8,13,192
10,15,190
10,13,191
10,12,192
10,12,193
9,12,193
12,18,196
11,19,196
11,17,197
12,17,197
10,19,196
10,18,196
10,16,197
11,16,197
12,16,197
9,20,195
8,20,194
7,18,195
8,18,196
7,21,194
7,19,194
7,18,194
7,16,195
7,14,196
7,15,196
8,16,197
-7,-69,175
-6,-70,175
-6,-71,175
-7,-71,175
-5,-70,174
-5,-71,174
-5,-72,175
-6,-72,175
2,-71,176
2,-71,175
2,-71,177
2,-72,177
2,-72,176
1,-72,175
-9,-72,184
-9,-72,185
-9,-72,182
-1,-70,188
1,-70,188
-3,-70,189
-2,-71,191
0,-71,190
1,-71,190
-9,-72,187
-9,-71,187
-9,-74,187
-9,-74,189
-9,-73,189
-9,-71,189
-7,-74,187
-5,-75,188
-6,-75,190
-7,-74,189
4,-74,185
4,-72,185
5,-73,187
4,-74,187
4,-70,185
4,-71,187
4,-72,189
5,-73,189
4,-74,189
12,-47,161
12,-48,166
10,-48,166
10,-47,162
12,-49,171
10,-49,171
8,-48,171
8,-47,166
-9,-26,165
-9,-23,167
-6,-20,166
-3,-40,158
0,-43,158
-3,-40,154
0,-43,154
-3,-17,166
-1,-15,165
-6,-36,157
-5,-35,153
12,-23,192
12,-19,192
9,-19,192
9,-23,192
12,-15,192
9,-15,191
7,-20,191
-8,-25,187
-7,-22,187
-8,-21,183
-10,-25,183
-6,-20,186
-6,-18,183
-7,-17,179
-9,-21,179
-11,-25,179
-9,-29,187
-7,-29,190
-6,-25,189
-7,-33,189
-3,-29,191
-8,-44,184
-6,-45,185
-6,-41,187
-6,-48,183
